"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"216","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","12h30","14h37","Non",16,"","16 mai 2024 Ré"
"217","PARIS-ST-LAZARE","CHERBOURG","12h59","16h06","A l'heure",0,"","16 mai 2024 Ré"
"218","PARIS-ST-LAZARE",NA,"13h10","14h25","Non",16,"","16 mai 2024 Ré"
"219","PARIS-ST-LAZARE","CAEN","13h56","16h02","A l'heure",0,"","16 mai 2024 Ré"
"220","PARIS-ST-LAZARE",NA,"15h09","16h24","Non",7,"","16 mai 2024 Ré"
"221","PARIS-ST-LAZARE","CHERBOURG","15h58","19h06","A l'heure",0,"","16 mai 2024 Ré"
"222","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","16h08","18h20","A l'heure",0,"","16 mai 2024 Ré"
"223","PARIS-ST-LAZARE","SERQUIGNY","16h30","18h16","Non",10,"","16 mai 2024 Ré"
"224","PARIS-ST-LAZARE","CHERBOURG","16h59","20h16","A l'heure",0,"","16 mai 2024 Ré"
"225","PARIS-ST-LAZARE","CAEN","17h09","19h16","A l'heure",0,"","16 mai 2024 Ré"
"226","PARIS-ST-LAZARE","SERQUIGNY","17h30","19h20","A l'heure",0,"","16 mai 2024 Ré"
"227","PARIS-ST-LAZARE","CHERBOURG","17h59","21h15","A l'heure",0,"","16 mai 2024 Ré"
"228","PARIS-ST-LAZARE","CAEN","18h08","20h21","A l'heure",0,"","16 mai 2024 Ré"
"229","PARIS-ST-LAZARE","SERQUIGNY","18h30","20h20","A l'heure",0,"","16 mai 2024 Ré"
"230","PARIS-ST-LAZARE","CHERBOURG","18h59","22h20","A l'heure",0,"","16 mai 2024 Ré"
